Toss,Venue,Team1_Batting_runs,Team2_runs_25,Team2_wickets_25,RankDiff,Team1Won
2,Away,bt200_250,bt100_150,bt2_4,1,1
1,Home,bt200_250,bt100_150,bt2_4,1,1
1,Home,bt200_250,bt150_200,bt4_6,1,0
1,Home,gt300,bt100_150,bt2_4,2,1
2,Away,gt300,bt100_150,bt2_4,1,1
2,Home,lt200,lt100,bt2_4,2,0
1,Neutral,bt200_250,bt100_150,bt4_6,2,1
1,Home,bt200_250,lt100,lte2,2,0
2,Home,bt200_250,bt100_150,bt2_4,2,0
2,Home,bt200_250,bt100_150,lte2,2,0
2,Neutral,bt200_250,bt100_150,bt2_4,1,1
1,Away,lt200,bt100_150,lte2,2,0
2,Neutral,bt200_250,bt100_150,lte2,2,0
1,Neutral,bt200_250,bt100_150,lte2,2,0
1,Away,lt200,bt100_150,lte2,2,0
1,Neutral,bt200_250,bt100_150,lte2,2,0
1,Away,bt200_250,bt100_150,lte2,2,0
1,Away,bt200_250,bt100_150,bt2_4,1,1
1,Away,bt200_250,bt100_150,lte2,1,0
1,Neutral,lt200,bt100_150,bt2_4,2,0
2,Home,bt200_250,bt100_150,lte2,2,0
1,Away,gt300,bt100_150,bt2_4,1,1
1,Away,bt200_250,bt100_150,gt6,1,0
2,Away,gt300,bt100_150,bt2_4,1,1
2,Neutral,bt200_250,bt100_150,bt2_4,1,1
1,Home,gt300,bt100_150,gt6,1,1
1,Neutral,gt300,bt100_150,bt2_4,1,1
1,Neutral,bt200_250,bt100_150,bt4_6,1,1
2,Away,bt200_250,bt150_200,bt2_4,2,0
1,Away,bt200_250,bt100_150,lte2,1,0
1,Neutral,bt200_250,bt100_150,bt2_4,1,1
1,Away,bt200_250,bt100_150,bt2_4,2,1
1,Away,gt300,bt150_200,bt2_4,1,1
1,Home,gt300,bt100_150,bt4_6,2,1
1,Neutral,bt200_250,bt100_150,lte2,2,0
2,Neutral,gt300,bt100_150,bt2_4,1,1
1,Home,bt200_250,gte200,lte2,2,0
1,Home,bt200_250,bt100_150,bt4_6,1,1
1,Away,gt300,bt100_150,lte2,1,1
2,Away,lt200,bt100_150,lte2,1,0
1,Home,bt200_250,bt100_150,bt4_6,2,1
1,Away,bt200_250,bt100_150,bt2_4,2,0
1,Away,bt200_250,bt100_150,lte2,1,0
2,Neutral,bt200_250,bt100_150,lte2,1,1
2,Neutral,lt200,lt100,bt4_6,2,1
1,Neutral,bt200_250,bt100_150,bt2_4,1,1
2,Neutral,gt300,bt100_150,bt2_4,2,1
2,Home,gt300,lt100,bt4_6,1,1
2,Away,bt200_250,lt100,bt2_4,1,1
1,Away,bt200_250,bt100_150,lte2,2,0
1,Neutral,bt200_250,bt100_150,bt2_4,2,0
1,Home,lt200,gte200,bt4_6,1,0
1,Away,lt200,lt100,lte2,1,0
1,Neutral,bt200_250,bt100_150,bt4_6,1,1
2,Home,bt200_250,bt100_150,gt6,2,1
2,Home,bt200_250,lt100,lte2,2,1
2,Away,bt200_250,bt100_150,bt2_4,1,1
1,Home,gt300,bt100_150,bt4_6,1,1
2,Away,gt300,bt100_150,lte2,1,1
1,Away,gt300,bt100_150,bt4_6,2,0
2,Neutral,bt200_250,bt100_150,gt6,1,1
2,Away,bt200_250,lt100,bt4_6,1,1
1,Home,bt200_250,lt100,bt2_4,2,1
1,Home,gt300,lt100,bt4_6,1,1
1,Away,bt200_250,bt100_150,lte2,1,1
1,Neutral,lt200,bt100_150,lte2,1,1
1,Home,bt200_250,bt100_150,lte2,1,0
2,Home,bt200_250,lt100,bt4_6,1,1
1,Away,bt200_250,lt100,bt2_4,1,1
2,Home,bt200_250,lt100,bt2_4,1,1
2,Home,gt300,lt100,bt4_6,1,1
1,Away,lt200,bt150_200,lte2,1,0
1,Neutral,lt200,lt100,lte2,2,0
2,Away,bt200_250,lt100,bt4_6,2,1
2,Neutral,gt300,bt100_150,lte2,1,1
2,Neutral,bt200_250,lt100,bt2_4,1,1
2,Neutral,lt200,bt100_150,lte2,2,0
1,Neutral,lt200,lt100,lte2,2,0
1,Home,gt300,lt100,gt6,1,1
1,Neutral,bt200_250,lt100,bt4_6,1,1
2,Neutral,lt200,bt100_150,lte2,2,0
1,Home,lt200,lt100,lte2,1,0
1,Away,gt300,bt150_200,bt4_6,1,0
1,Neutral,bt200_250,lt100,bt4_6,2,1
1,Neutral,bt200_250,bt100_150,lte2,1,0
2,Away,bt200_250,bt100_150,bt2_4,1,1
1,Neutral,lt200,lt100,gt6,2,1
1,Neutral,bt200_250,bt100_150,bt2_4,1,1
2,Home,bt200_250,lt100,bt2_4,2,1
2,Away,gt300,bt100_150,bt2_4,2,1
1,Away,lt200,bt100_150,bt2_4,2,0
1,Neutral,bt200_250,bt150_200,lte2,2,0
1,Neutral,gt300,bt100_150,lte2,1,1
2,Away,bt200_250,bt100_150,lte2,2,0
1,Home,bt200_250,bt100_150,bt2_4,2,0
1,Home,bt200_250,lt100,bt2_4,2,1
1,Home,bt200_250,bt100_150,lte2,1,0
2,Away,bt200_250,lt100,lte2,1,0
2,Away,bt200_250,bt100_150,lte2,1,0
2,Home,lt200,bt150_200,bt2_4,2,0
2,Neutral,lt200,lt100,gt6,1,1
1,Away,bt200_250,bt100_150,lte2,1,0
2,Home,bt200_250,bt100_150,gt6,2,1
1,Home,bt200_250,lt100,bt2_4,2,1
2,Neutral,bt200_250,lt100,lte2,1,1
1,Neutral,gt300,bt100_150,gt6,1,1
1,Neutral,bt200_250,lt100,gt6,1,1
1,Neutral,bt200_250,bt100_150,lte2,1,0
2,Neutral,gt300,lt100,bt4_6,1,1
1,Away,bt200_250,bt100_150,bt2_4,2,1
1,Away,bt200_250,lt100,lte2,1,1
1,Home,lt200,bt100_150,gt6,1,1
1,Neutral,lt200,lt100,bt2_4,1,0
1,Neutral,gt300,bt100_150,gt6,1,1
2,Away,gt300,bt100_150,bt2_4,1,0
1,Away,bt200_250,bt100_150,lte2,2,1
2,Neutral,lt200,lt100,bt4_6,2,0
1,Neutral,bt200_250,bt100_150,lte2,2,0
2,Neutral,bt200_250,lt100,lte2,1,1
2,Away,lt200,bt100_150,gt6,1,0
2,Neutral,gt300,bt100_150,bt2_4,1,1
1,Neutral,bt200_250,lt100,bt2_4,1,1
2,Away,lt200,bt150_200,lte2,1,0
2,Neutral,bt200_250,bt100_150,bt2_4,1,1
1,Home,gt300,bt100_150,lte2,1,1
1,Neutral,bt200_250,bt100_150,lte2,2,0
1,Home,bt200_250,bt100_150,lte2,2,0
1,Neutral,gt300,bt150_200,bt2_4,2,0
1,Away,bt200_250,bt100_150,bt2_4,2,0
1,Neutral,bt200_250,bt150_200,bt2_4,2,0
2,Neutral,bt200_250,lt100,bt4_6,2,0
1,Neutral,lt200,bt100_150,bt2_4,2,0
1,Away,bt200_250,bt100_150,gt6,1,1
2,Neutral,lt200,bt100_150,bt4_6,1,0
1,Away,lt200,bt100_150,bt4_6,2,0
1,Home,bt200_250,bt100_150,bt2_4,1,1
2,Neutral,bt200_250,lt100,bt2_4,2,0
2,Away,bt200_250,bt100_150,bt2_4,1,1
2,Away,lt200,bt100_150,bt2_4,2,0
1,Home,bt200_250,bt100_150,lte2,2,1
1,Home,gt300,lt100,bt2_4,1,1
1,Neutral,lt200,bt100_150,bt2_4,2,0
1,Neutral,bt200_250,bt100_150,bt2_4,1,0
1,Home,bt200_250,bt100_150,bt4_6,2,1
1,Neutral,lt200,bt100_150,bt2_4,2,0
1,Away,bt200_250,lt100,bt4_6,1,1
1,Home,bt200_250,lt100,bt2_4,2,0
1,Neutral,bt200_250,lt100,bt2_4,1,1
2,Home,bt200_250,bt100_150,lte2,1,0
2,Away,lt200,bt100_150,bt2_4,2,0
2,Home,bt200_250,bt100_150,lte2,2,0
2,Neutral,gt300,bt100_150,bt4_6,1,1
2,Home,gt300,bt150_200,lte2,2,0
2,Away,bt200_250,lt100,bt4_6,1,1
2,Home,bt200_250,bt100_150,gt6,1,1
2,Away,bt200_250,bt100_150,lte2,1,1
1,Home,bt200_250,bt100_150,lte2,2,0
1,Neutral,gt300,bt150_200,lte2,2,0
1,Neutral,gt300,bt100_150,bt2_4,1,1
1,Home,lt200,bt100_150,bt2_4,1,0
2,Away,bt200_250,bt100_150,bt2_4,1,0
2,Away,lt200,lt100,gt6,1,1
2,Neutral,gt300,bt150_200,bt2_4,1,1
2,Neutral,gt300,bt100_150,bt4_6,1,1
1,Neutral,bt200_250,bt100_150,bt2_4,2,0
1,Neutral,bt200_250,lt100,bt4_6,1,1
2,Home,bt200_250,bt100_150,bt4_6,1,1
2,Away,gt300,bt100_150,bt2_4,1,1
1,Neutral,gt300,bt150_200,bt2_4,1,1
2,Neutral,lt200,bt100_150,lte2,1,0
1,Away,bt200_250,bt100_150,bt2_4,1,1
2,Away,lt200,bt150_200,gt6,2,0
2,Away,gt300,bt100_150,bt2_4,1,1
1,Away,lt200,lt100,bt2_4,1,1
2,Away,lt200,bt100_150,lte2,1,0
2,Away,bt200_250,bt100_150,lte2,2,0
1,Away,bt200_250,bt100_150,bt2_4,1,0
2,Away,bt200_250,bt100_150,lte2,2,0
1,Neutral,lt200,lt100,bt2_4,1,0
1,Neutral,bt200_250,bt100_150,lte2,2,0
2,Neutral,bt200_250,lt100,bt4_6,2,1
1,Home,bt200_250,lt100,bt2_4,1,1
1,Away,bt200_250,bt100_150,bt2_4,1,0
1,Away,gt300,bt100_150,lte2,1,1
1,Away,gt300,bt100_150,lte2,2,0
1,Neutral,bt200_250,bt100_150,bt2_4,2,0
1,Away,lt200,bt150_200,bt2_4,2,0
2,Home,bt200_250,bt100_150,lte2,1,1
1,Neutral,bt200_250,lt100,bt2_4,1,1
1,Neutral,gt300,bt100_150,bt4_6,2,1
1,Away,bt200_250,bt150_200,bt2_4,2,0
1,Neutral,lt200,bt100_150,lte2,2,0
2,Neutral,bt200_250,lt100,bt2_4,2,1
1,Neutral,bt200_250,bt100_150,lte2,1,1
2,Home,bt200_250,lt100,bt4_6,1,1
1,Away,lt200,bt100_150,lte2,2,0
2,Home,lt200,lt100,lte2,1,0
2,Home,bt200_250,bt100_150,lte2,2,0
1,Away,bt200_250,bt100_150,bt2_4,2,1
1,Home,bt200_250,gte200,lte2,2,0
2,Neutral,bt200_250,bt100_150,lte2,1,0
1,Neutral,lt200,lt100,bt2_4,2,0
1,Away,gt300,bt100_150,lte2,1,1
1,Away,lt200,bt100_150,lte2,2,0
2,Neutral,bt200_250,lt100,bt4_6,1,1
2,Neutral,bt200_250,bt100_150,lte2,1,1
1,Neutral,gt300,bt100_150,bt2_4,2,1
2,Home,bt200_250,bt100_150,bt2_4,1,1
1,Home,bt200_250,bt150_200,bt2_4,2,0
1,Away,bt200_250,bt100_150,bt2_4,2,0
2,Home,gt300,bt100_150,bt2_4,2,1
2,Home,gt300,bt100_150,bt4_6,1,1
2,Away,lt200,lt100,bt2_4,2,0
2,Away,lt200,lt100,bt4_6,1,1
2,Home,bt200_250,bt100_150,bt2_4,2,1
1,Away,lt200,bt100_150,lte2,2,0
2,Away,bt200_250,bt150_200,lte2,2,0
2,Home,bt200_250,bt100_150,lte2,1,0
1,Neutral,gt300,bt100_150,bt2_4,1,1
1,Neutral,gt300,lt100,bt2_4,1,1
2,Home,bt200_250,bt100_150,bt2_4,2,1
1,Neutral,bt200_250,bt100_150,bt2_4,1,0
1,Neutral,bt200_250,bt100_150,bt2_4,2,0
2,Home,bt200_250,lt100,bt4_6,2,0
2,Away,lt200,bt100_150,gt6,2,0
1,Away,bt200_250,bt100_150,lte2,2,0
2,Away,bt200_250,bt100_150,lte2,2,0
2,Neutral,gt300,lt100,bt2_4,1,1
2,Home,bt200_250,bt100_150,bt2_4,1,1
2,Away,gt300,bt100_150,lte2,2,1
2,Home,bt200_250,lt100,bt2_4,2,1
1,Home,bt200_250,bt100_150,lte2,1,1
1,Home,gt300,bt100_150,bt2_4,2,0
2,Neutral,bt200_250,bt100_150,bt2_4,2,0
1,Neutral,bt200_250,lt100,gt6,1,1
1,Neutral,bt200_250,bt100_150,bt4_6,1,1
1,Neutral,gt300,bt150_200,lte2,2,0
2,Away,gt300,bt100_150,bt2_4,1,1
2,Away,lt200,bt100_150,gt6,2,1
2,Away,bt200_250,bt100_150,bt2_4,1,1
1,Neutral,bt200_250,bt100_150,lte2,1,0
1,Home,bt200_250,bt100_150,bt2_4,1,1
1,Home,bt200_250,lt100,bt2_4,1,1
1,Neutral,bt200_250,bt100_150,lte2,2,0
1,Home,gt300,bt100_150,bt2_4,1,1
1,Neutral,bt200_250,lt100,bt2_4,1,1
2,Home,bt200_250,lt100,bt2_4,1,1
2,Away,bt200_250,bt100_150,bt2_4,1,0
2,Away,lt200,bt100_150,gt6,1,1
1,Home,lt200,bt100_150,lte2,2,0
1,Home,lt200,bt100_150,lte2,1,0
1,Neutral,lt200,bt100_150,lte2,1,0
1,Neutral,lt200,lt100,lte2,1,1
2,Home,bt200_250,bt100_150,bt2_4,1,1
2,Away,lt200,bt150_200,bt4_6,1,0
2,Neutral,lt200,lt100,bt2_4,2,0
1,Neutral,lt200,bt100_150,lte2,1,0
1,Home,bt200_250,bt150_200,lte2,1,0
2,Neutral,bt200_250,lt100,bt4_6,1,0
1,Neutral,bt200_250,bt100_150,bt2_4,2,0
1,Neutral,gt300,bt100_150,bt4_6,1,1
2,Neutral,lt200,bt150_200,lte2,2,0
2,Away,bt200_250,bt100_150,bt2_4,2,0
1,Away,bt200_250,bt100_150,bt4_6,1,1
1,Home,lt200,lt100,bt4_6,2,1
1,Away,bt200_250,bt100_150,bt2_4,1,0
1,Away,bt200_250,bt100_150,bt2_4,2,1
1,Neutral,bt200_250,bt100_150,lte2,2,0
2,Away,lt200,bt100_150,bt2_4,2,0
1,Neutral,lt200,bt100_150,lte2,1,0
1,Home,bt200_250,bt150_200,lte2,1,0
1,Neutral,gt300,bt100_150,bt2_4,2,1
2,Away,bt200_250,lt100,bt4_6,1,1
2,Neutral,bt200_250,bt100_150,bt2_4,1,0
1,Home,bt200_250,bt100_150,bt4_6,1,1
2,Home,bt200_250,bt100_150,lte2,2,0
2,Neutral,bt200_250,bt100_150,bt2_4,1,0
1,Home,gt300,bt100_150,bt2_4,2,1
1,Neutral,bt200_250,bt150_200,bt2_4,1,1
1,Home,bt200_250,bt100_150,lte2,2,0
1,Away,bt200_250,bt150_200,bt2_4,2,0
1,Neutral,bt200_250,bt100_150,gt6,1,1
1,Away,lt200,bt100_150,lte2,1,0
2,Neutral,bt200_250,bt100_150,lte2,1,0
2,Neutral,bt200_250,lt100,lte2,1,1
1,Neutral,bt200_250,bt100_150,lte2,2,0
1,Neutral,bt200_250,lt100,bt4_6,1,1
1,Away,bt200_250,bt100_150,bt2_4,2,0
1,Neutral,bt200_250,bt100_150,bt2_4,1,0
2,Neutral,gt300,lt100,bt4_6,1,1
2,Home,bt200_250,bt100_150,lte2,1,1
2,Away,bt200_250,bt100_150,lte2,2,0
1,Home,bt200_250,bt150_200,lte2,2,0
1,Neutral,gt300,bt100_150,bt2_4,2,1
2,Home,bt200_250,bt100_150,bt2_4,2,1
1,Neutral,bt200_250,lt100,bt2_4,1,1
2,Away,gt300,lt100,bt2_4,1,1
1,Neutral,gt300,lt100,gt6,1,1
2,Away,lt200,bt100_150,lte2,1,0
2,Away,lt200,bt100_150,bt2_4,1,1
1,Neutral,lt200,bt100_150,bt2_4,1,0
1,Away,bt200_250,bt100_150,bt4_6,2,1
2,Home,bt200_250,bt100_150,bt2_4,2,1
1,Away,bt200_250,lt100,bt4_6,1,1
1,Away,bt200_250,bt100_150,lte2,2,0
1,Neutral,bt200_250,bt100_150,bt4_6,1,1
1,Away,bt200_250,lt100,bt2_4,2,0
2,Neutral,lt200,bt100_150,bt2_4,2,0
1,Home,bt200_250,bt100_150,lte2,1,0
2,Away,bt200_250,bt100_150,bt2_4,1,1
1,Neutral,lt200,lt100,lte2,2,0
2,Neutral,gt300,bt100_150,bt2_4,1,1
1,Away,lt200,bt100_150,lte2,1,0
2,Home,bt200_250,bt100_150,bt4_6,2,1
2,Home,gt300,bt100_150,bt4_6,1,1
2,Away,bt200_250,bt100_150,bt4_6,2,0
2,Neutral,bt200_250,bt100_150,bt4_6,2,1
2,Home,gt300,bt100_150,lte2,2,1
2,Neutral,bt200_250,bt100_150,bt2_4,1,1
1,Away,bt200_250,bt100_150,bt4_6,1,1
2,Neutral,bt200_250,lt100,bt2_4,2,0
2,Home,bt200_250,bt100_150,gt6,1,1
1,Neutral,bt200_250,bt100_150,bt2_4,2,0
2,Home,bt200_250,lt100,lte2,1,0
2,Away,bt200_250,bt100_150,lte2,1,0
1,Neutral,bt200_250,bt100_150,bt2_4,2,0
1,Neutral,bt200_250,bt100_150,bt2_4,2,0
2,Neutral,bt200_250,lt100,lte2,1,0
2,Away,gt300,bt100_150,bt2_4,2,0
1,Home,lt200,lt100,bt4_6,1,0
2,Neutral,bt200_250,lt100,gt6,1,1
1,Neutral,bt200_250,bt100_150,bt2_4,1,1
2,Away,lt200,bt100_150,lte2,1,0
1,Neutral,lt200,bt150_200,lte2,2,0
1,Away,lt200,bt150_200,lte2,1,0
2,Neutral,bt200_250,bt100_150,bt4_6,1,1
2,Neutral,lt200,bt100_150,gt6,1,1
2,Away,bt200_250,bt150_200,bt2_4,2,0
2,Neutral,bt200_250,bt100_150,bt2_4,1,0
1,Home,gt300,bt100_150,bt2_4,2,0
1,Neutral,bt200_250,bt100_150,lte2,2,0
1,Home,gt300,bt100_150,bt2_4,2,1
1,Away,gt300,bt100_150,lte2,2,1
2,Home,lt200,bt150_200,gt6,1,1
1,Neutral,gt300,bt150_200,bt2_4,2,1
2,Neutral,lt200,bt100_150,lte2,1,0
1,Away,lt200,bt100_150,lte2,2,0
2,Home,bt200_250,bt100_150,lte2,2,0
2,Home,bt200_250,bt100_150,gt6,2,1
1,Home,lt200,lt100,lte2,2,0
2,Home,bt200_250,bt100_150,bt2_4,2,1
2,Home,bt200_250,bt100_150,bt2_4,1,1
1,Home,gt300,bt150_200,lte2,1,1
1,Home,bt200_250,bt100_150,bt2_4,2,0
2,Neutral,bt200_250,lt100,bt2_4,2,0
1,Away,bt200_250,bt100_150,lte2,1,0
2,Home,bt200_250,lt100,bt4_6,1,0
2,Home,bt200_250,bt100_150,lte2,1,0
1,Neutral,bt200_250,lt100,bt4_6,1,1
1,Neutral,gt300,lt100,bt4_6,1,1
2,Away,bt200_250,bt100_150,bt2_4,2,1
1,Neutral,bt200_250,bt100_150,lte2,2,0
1,Away,gt300,bt100_150,lte2,2,1
2,Home,bt200_250,bt100_150,bt2_4,1,0
1,Away,bt200_250,bt100_150,bt2_4,2,0
1,Neutral,lt200,bt100_150,lte2,2,0
1,Neutral,bt200_250,lt100,gt6,1,1
