No.,Official name (known as),Location,Country
1,Melbourne Cricket Ground,Melbourne~ Victoria,Australia ! Australia
2,Old Trafford Cricket Ground,Manchester~ Greater Manchester,England ! England
3,Lord's Cricket Ground,St. John's Wood~ London,England ! England
4,County Cricket Ground,Birmingham~ West Midlands,England ! England
5,AMI Stadium,Christchurch~ Canterbury,New Zealand ! New Zealand
6,St Helen's,Swansea~ West Glamorgan,Wales ! Wales
7,Headingley Stadium,Leeds~ West Yorkshire,England ! England
8,The Oval Cricket Ground,Kennington~ London,England ! England
9,Carisbrook,Dunedin~ Otago,New Zealand ! New Zealand
10,Trent Bridge Ground,Nottingham~ Nottinghamshire,England ! England
11,Basin Reserve,Wellington,New Zealand ! New Zealand
12,Adelaide Oval,Adelaide~ South Australia,Australia ! Australia
13,Eden Park No. 1,Auckland,New Zealand ! New Zealand
14,North Marine Road Ground,Scarborough~ North Yorkshire,England ! England
15,Jinnah Stadium,Sialkot~ Punjab,Pakistan ! Pakistan
16,Albion Sports Complex,Albion~ Berbice~ Guyana,West Indies ! Guyana
17,Zafar Ali Stadium,Sahiwal~ Punjab,Pakistan ! Pakistan
18,Gaddafi Stadium,Lahore~ Punjab,Pakistan ! Pakistan
19,Antigua Recreation Ground,St. John's~ Antigua,West Indies ! Antigua and Barbuda
20,Mindoo Phillip Park,Castries~ St Lucia,West Indies ! Saint Lucia
21,Ayub National Stadium,Quetta~ Balochistan,Pakistan ! Pakistan
22,Sydney Cricket Ground,Sydney~ New South Wales,Australia ! Australia
23,Brisbane Cricket Ground,Brisbane~ Queensland,Australia ! Australia
24,National Stadium,Karachi~ Sind,Pakistan ! Pakistan
25,Western Australian Cricket Association Ground,Perth~ Western Australia,Australia ! Australia
26,The Playing Fields,Kingstown~ St Vincent ,West Indies ! Saint Vincent and the Grenadines
27,Seddon Park,Hamilton~ Waikato,New Zealand ! New Zealand
28,Sardar Vallabhbhai Patel Stadium,Ahmedabad~ Gujarat,India ! India
29,Gandhi Stadium,Jalandhar~ Punjab,India ! India
30,Barabati Stadium,Cuttack~ Odisha,India ! India
31,Sinhalese Sports Club Ground,Colombo~ Western Province,Sri Lanka ! Sri Lanka
32,Gandhi Sports Complex Ground,Amritsar~ Punjab,India ! India
33,Feroz Shah Kotla Ground,New Delhi~ Delhi,India ! India
34,Niaz Stadium,Hyderabad~ Sind,Pakistan ! Pakistan
35,M. Chinnaswamy Stadium,Bangalore~ Karnataka,India ! India
36,Jinnah Stadium,Gujranwala~ Punjab,Pakistan ! Pakistan
37,Ibn-e-Qasim Bagh Stadium,Multan~ Punjab,Pakistan ! Pakistan
38,Queen's Park Oval,Port of Spain~ Trinidad,West Indies ! Trinidad and Tobago
39,McLean Park,Napier~ Hawke's Bay,New Zealand ! New Zealand
40,Queen's Park (Old),St George's~ Grenada,Grenada
41,Paikiasothy Saravanamuttu Stadium,Colombo~ Western Province,Sri Lanka ! Sri Lanka
42,County Ground,Taunton~ Somerset,England ! England
43,Grace Road,Leicester~ Leicestershire,England ! England
44,County Ground,Bristol~ County of Bristol,England ! England
45,County Ground,Worcester~ Worcestershire,England ! England
46,County Ground,Southampton~ Hampshire,England ! England
47,Nevill Ground,Tunbridge Wells~ Kent,England ! England
48,County Ground,Derby~ Derbyshire,England ! England
49,The Ford County Ground,Chelmsford~ Essex,England ! England
50,Lal Bahadur Shastri Stadium,Hyderabad~ Telangana,India ! India
51,Sawai Mansingh Stadium,Jaipur~ Rajasthan,India ! India
52,Sher-i-Kashmir Stadium,Srinagar~ Jammu and Kashmir,India ! India
53,Moti Bagh Stadium,Vadodara~ Gujarat,India ! India
54,Nehru Stadium,Indore~ Madhya Pradesh,India ! India
55,Keenan Stadium,Jamshedpur~ Jharkhand,India ! India
56,Nehru Stadium,Guwahati~ Assam,India ! India
57,Tyronne Fernando Stadium,Moratuwa~ Western Province,Sri Lanka ! Sri Lanka
58,Sharjah Cricket Stadium,Sharjah~ United Arab Emirates,United Arab Emirates ! United Arab Emirates
59,Sabina Park,Kingston~ Jamaica,West Indies ! Jamaica
60,Jawaharlal Nehru Stadium,New Delhi~ Delhi,India ! India
61,University Stadium,Trivandrum~ Kerala,India ! India
62,Sardar Patel Stadium,Ahmedabad~ Gujarat,India ! India
63,Arbab Niaz Stadium,Peshawar~ Khyber Pakhtunkhwa,Pakistan ! Pakistan
64,Iqbal Stadium,Faisalabad~ Punjab,Pakistan ! Pakistan
65,Nehru Stadium,Pune~ Maharashtra,India ! India
66,Tasmania Cricket Association Ground,Hobart~ Tasmania,Australia ! Australia
67,Vidarbha Cricket Association Ground,Nagpur~ Maharashtra,India ! India
68,Sector 16 Stadium,Chandigarh~ Chandigarh,India ! India
69,Kensington Oval,Bridgetown~ Barbados,West Indies ! Barbados
70,Pindi Club Ground,Rawalpindi~ Punjab,Pakistan ! Pakistan
71,North Tasmania Cricket Association Ground,Launceston~ Tasmania,Australia ! Australia
72,Asgiriya Stadium,Kandy~ Central Province,Sri Lanka ! Sri Lanka
73,Ranasinghe Premadasa Stadium,Colombo~ Western Province,Sri Lanka ! Sri Lanka
74,Madhavrao Scindia Cricket Ground,Rajkot~ Saurashtra,India ! India
75,Modi Stadium,Kanpur~ Uttar Pradesh,India ! India
76,Wankhede Stadium,Mumbai~ Maharashtra,India ! India
77,Formby Recreation Ground,Devonport~ Tasmania,Australia ! Australia
78,Eden Gardens,Kolkata~ West Bengal,India ! India
79,M. A. Chidambaram Stadium,Chennai~ Tamil Nadu,India ! India
80,Bellerive Oval,Hobart~ Tasmania,Australia ! Australia
81,Nahar Singh Stadium,Faridabad~ Haryana,India ! India
82,Captain Roop Singh Stadium,Gwalior~ Madhya Pradesh,India ! India
83,Bourda,Georgetown~ Guyana,West Indies ! Guyana
84,MA Aziz Stadium,Chittagong~ Chittagong Division,Bangladesh ! Bangladesh
85,Bangabandhu National Stadium,Dhaka~ Dhaka Division,Bangladesh ! Bangladesh
86,Indira Priyadarshini Stadium,Visakhapatnam~ Andhra Pradesh,India ! India
87,Brabourne Stadium,Mumbai~ Maharashtra,India ! India
88,Nehru Stadium,Fatorda~ Margao~ Goa,India ! India
89,K.D. Singh Babu Stadium,Lucknow~ Uttar Pradesh,India ! India
90,Sports Stadium,Sargodha~ Punjab,Pakistan ! Pakistan
91,Rawalpindi Cricket Stadium,Rawalpindi~ Punjab,Pakistan ! Pakistan
92,Pukekura Park,New Plymouth~ Taranaki,New Zealand ! New Zealand
93,Ray Mitchell Oval,Mackay~ Queensland,Australia ! Australia
94,Eastern Oval,Ballarat~ Victoria,Australia ! Australia
95,Manuka Oval,Canberra~ Australian Capital Territory,Australia ! Australia
96,Berri Oval,Berri~ South Australia,Australia ! Australia
97,Lavington Sports Oval,Albury~ New South Wales,Australia ! Australia
98,Harare Sports Club,Harare,Zimbabwe ! Zimbabwe
99,Bulawayo Athletic Club,Bulawayo,Zimbabwe ! Zimbabwe
100,Sahara Park Newlands,Cape Town~ Western Cape,South Africa ! South Africa
101,Axxess DSL St. Georges,Port Elizabeth~ Eastern Cape,South Africa ! South Africa
102,SuperSport Park,Centurion~ Gauteng,South Africa ! South Africa
103,New Wanderers Stadium,Johannesburg~ Gauteng,South Africa ! South Africa
104,Goodyear Park,Bloemfontein~ Free State,South Africa ! South Africa
105,"Sahara Stadium, Kingsmead",Durban~ KwaZulu-Natal,South Africa ! South Africa
106,Buffalo Park,East London~ Eastern Cape,South Africa ! South Africa
107,Moin-ul-Haq Stadium,Patna~ Bihar,India ! India
108,Punjab Cricket Association Stadium,Mohali~ Punjab,India ! India
109,Reliance Stadium,Vadodara~ Baroda,India ! India
110,The Padang,Singapore~ Singapore,Singapore ! Singapore
111,"Toronto Cricket, Skating and Curling Club",Toronto~ Ontario,Canada ! Canada
112,Gymkhana Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
113,Nairobi Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
114,Aga Khan Sports Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
115,Bugti Stadium,Quetta~ Balochistan,Pakistan ! Pakistan
116,Queens Sports Club,Bulawayo,Zimbabwe ! Zimbabwe
117,Boland Park,Paarl~ Western Cape,South Africa ! South Africa
118,Willowmoore Park,Benoni~ Gauteng,South Africa ! South Africa
119,Nehru Stadium,Kaloor~ Kochi~ Kerala,India ! India
120,De Beers Diamond Oval,Kimberley~ Northern Cape,South Africa ! South Africa
121,Sheikhupura Stadium,Sheikhupura~ Punjab,Pakistan ! Pakistan
122,Owen Delany Park,Taupo~ Waikato,New Zealand ! New Zealand
123,National Cricket Stadium,St. George's~ Grenada,West Indies ! Grenada
124,County Ground,Hove~ East Sussex,England ! England
125,St Lawrence Ground,Canterbury~ Kent,England ! England
126,County Ground,Northampton~ Northamptonshire,England ! England
127,SWALEC Stadium,Cardiff~ South Glamorgan,Wales ! Wales
128,County Ground,Chester-le-Street~ County Durham,England ! England
129,Castle Avenue,Dublin~ Leinster,Ireland ! Ireland
130,"Grange CC Ground, Raeburn Place",Edinburgh,Scotland ! Scotland
131,VRA Cricket Ground,Amstelveen~ North Holland,Netherlands ! Netherlands
132,Galle International Stadium,Galle~ Southern Province,Sri Lanka ! Sri Lanka
133,Kallang Ground,Singapore~ Singapore,Singapore ! Singapore
134,Westpac Stadium,Wellington~ Wellington,New Zealand ! New Zealand
135,Docklands Stadium,Melbourne~ Victoria,Australia ! Australia
136,North West Cricket Stadium,Potchefstroom~ North West,South Africa ! South Africa
137,Barkatullah Khan Stadium,Jodhpur~ Rajasthan,India ! India
138,Rangiri Dambulla International Stadium,Dambulla~ Central Province,Sri Lanka ! Sri Lanka
139,Simba Union Ground,Nairobi~ Nairobi County,Kenya ! Kenya
140,Beausejour,Gros Islet~ St Lucia,West Indies ! Saint Lucia
141,National Cricket Stadium,Tangier~ Tangier-Tetouan,Morocco ! Morocco
142,Indira Gandhi Stadium,Vijayawada~ Andhra Pradesh,India ! India
143,Kwekwe Sports Club,Kwekwe~ Midlands,Zimbabwe ! Zimbabwe
144,Queenstown Events Centre,Queenstown~ Otago,New Zealand ! New Zealand
145,City Oval,Pietermaritzburg~ KwaZulu-Natal,South Africa ! South Africa
146,Rose Bowl,Southampton~ Hampshire,England ! England
147,Bundaberg Rum Stadium,Cairns~ Queensland,Australia ! Australia
148,Marrara Oval,Darwin~ Northern Territory,Australia ! Australia
149,Multan Cricket Stadium,Multan~ Punjab,Pakistan ! Pakistan
150,Dr YS Rajasekhara Reddy Andhra CA-Visakhapatnam District CA Cricket Stadium,Visakhapatnam~ Andhra Pradesh,India ! India
151,Rajiv Gandhi International Cricket Stadium,Hyderabad~ Telangana,India ! India
152,Shaheed Chandu Stadium,Bogra~ Rajshahi Division,Bangladesh ! Bangladesh
153,Chittagong Divisional Stadium,Chittagong~ Chittagong Division,Bangladesh ! Bangladesh
154,Khulna Divisional Stadium,Khulna~ Khulna Division,Bangladesh ! Bangladesh
155,Narayanganj Osmani Stadium,Fatullah~ Narayanganj District,Bangladesh ! Bangladesh
156,Holkar Cricket Stadium,Indore~ Madhya Pradesh,India ! India
157,Sheikh Zayed Cricket Stadium,Abu Dhabi~ United Arab Emirates,United Arab Emirates ! United Arab Emirates
158,Warner Park,Basseterre~ St Kitts,West Indies ! Saint Kitts and Nevis
159,Civil Service Cricket Club,Belfast~ County Antrim,Northern Ireland ! Northern Ireland
160,Cambusdoon New Ground,Ayr~ Ayrshire,Scotland ! Scotland
161,Kinrara Academy Oval,Puchong~ Kuala Lumpur,Malaysia ! Malaysia
162,Mombasa Sports Club Ground,Mombasa~ Coast Province,Kenya ! Kenya
163,Shere-e-Bangla Stadium,Mirpur~ Dhaka Division,Bangladesh ! Bangladesh
164,Jaffery Sports Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
165,Ruaraka Sports Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
166,Sir Vivian Richards Stadium,North Sound~ Antigua,West Indies ! Antigua and Barbuda
167,Providence Stadium,Providence~ Guyana,West Indies ! Guyana
168,Titwood,Glasgow~ Strathclyde,Scotland ! Scotland
169,Hazelaarweg Stadion,Rotterdam~ South Holland,Netherlands ! Netherlands
170,Maple Leaf North-West Ground,King City~ Ontario,Canada ! Canada
171,Mannofield Park,Aberdeen,Scotland ! Scotland
172,Dubai International Cricket Stadium,Dubai~ United Arab Emirates,United Arab Emirates ! United Arab Emirates
173,Windsor Park,Roseau~ Dominica,West Indies ! Dominica
174,Vidarbha Cricket Association Stadium,Nagpur~ Maharashtra,India ! India
175,University Oval,Dunedin~ Otago,New Zealand ! New Zealand
176,Sportpark Westvliet,Voorburg~ South Holland,Netherlands ! Netherlands
177,Sportpark Thurlede,Schiedam~ South Holland,Netherlands ! Netherlands
178,Mahinda Rajapaksa International Stadium,Hambantota~ Southern Province,Sri Lanka ! Sri Lanka
179,Pallekele International Cricket Stadium,Pallekele~ Central Province,Sri Lanka ! Sri Lanka
180,Sportpark Duivesteijn,Voorburg~ South Holland,Netherlands ! Netherlands
181,Cobham Oval (New),Whangarei~ Northland,New Zealand ! New Zealand
182,Saurashtra Cricket Association Stadium,Rajkot~ Saurashtra,India ! India
183,JSCA International Cricket Stadium,Ranchi~ Jharkhand,India ! India
184,HPCA Stadium,Dharamsala~ Himachal Pradesh,India ! India
185,ICC Global Cricket Academy,Dubai~ United Arab Emirates,United Arab Emirates ! United Arab Emirates
186,Malahide,Dublin~ Leinster,Ireland ! Ireland
187,Subrata Roy Sahara Stadium,Gahunje~ Pune~ Maharashtra,India ! India
188,Saxton Oval,Nelson~ Nelson (Region),New Zealand ! New Zealand
189,Hagley Oval,Christchurch~ Canterbury,New Zealand ! New Zealand
190,Bert Sutcliffe Oval,Lincoln~ Canterbury,New Zealand ! New Zealand
191,Bay Oval,Mount Maunganui~ Bay of Plenty,New Zealand ! New Zealand
192,Bayuemas Oval,Pandamaran~ Kuala Lumpur,Malaysia ! Malaysia
193,Tony Ireland Stadium,Townsville~ Queensland,Australia ! Australia
